x,y,z
242,106.60000610351562,b
241,103.60000610351562,b
241,102.60000610351562,b
241,101.60000610351562,b
242,100.60000610351562,b
242,99.60000610351562,b
243,98.60000610351562,b
244,97.60000610351562,b
245,96.60000610351562,b
247,95.60000610351562,b
247,95.60000610351562,b
251,94.60000610351562,b
253,94.60000610351562,b
257,94.60000610351562,b
259,94.60000610351562,b
261,94.60000610351562,b
266,95.60000610351562,b
268,99.60000610351562,b
271,102.60000610351562,b
275,109.60000610351562,b
281,117.60000610351562,b
284,126.60000610351562,b
289,138.60000610351562,b
293,147.60000610351562,b
295,152.60000610351562,b
299,170.60000610351562,b
302,179.60000610351562,b
303,190.60000610351562,b
306,199.60000610351562,b
307,209.60000610351562,b
309,219.60000610351562,b
311,228.60000610351562,b
314,234.60000610351562,b
315,242.60000610351562,b
317,248.60000610351562,b
319,254.60000610351562,b
321,261.6000061035156,b
325,270.6000061035156,b
327,277.6000061035156,b
328,281.6000061035156,b
329,284.6000061035156,b
331,288.6000061035156,b
332,291.6000061035156,b
333,292.6000061035156,b
334,294.6000061035156,b
335,297.6000061035156,b
336,299.6000061035156,b
338,302.6000061035156,b
341,307.6000061035156,b
343,310.6000061035156,b
346,314.6000061035156,b
347,317.6000061035156,b
350,319.6000061035156,b
351,320.6000061035156,b
351,321.6000061035156,b
354,322.6000061035156,b
356,324.6000061035156,b
359,326.6000061035156,b
362,327.6000061035156,b
363,328.6000061035156,b
364,330.6000061035156,b
367,330.6000061035156,b
369,330.6000061035156,b
371,330.6000061035156,b
375,330.6000061035156,b
377,330.6000061035156,b
382,330.6000061035156,b
387,330.6000061035156,b
390,327.6000061035156,b
396,322.6000061035156,b
406,316.6000061035156,b
415,308.6000061035156,b
421,303.6000061035156,b
425,301.6000061035156,b
431,296.6000061035156,b
431,295.6000061035156,b
435,292.6000061035156,b
439,287.6000061035156,b
443,282.6000061035156,b
445,281.6000061035156,b
446,280.6000061035156,b
447,278.6000061035156,b
450,277.6000061035156,b
453,274.6000061035156,b
455,272.6000061035156,b
459,270.6000061035156,b
463,270.6000061035156,b
465,268.6000061035156,b
467,268.6000061035156,b
470,268.6000061035156,b
475,268.6000061035156,b
477,268.6000061035156,b
482,268.6000061035156,b
488,268.6000061035156,b
491,268.6000061035156,b
497,268.6000061035156,b
501,270.6000061035156,b
510,275.6000061035156,b
515,280.6000061035156,b
520,284.6000061035156,b
523,287.6000061035156,b
525,290.6000061035156,b
527,294.6000061035156,b
529,295.6000061035156,b
531,300.6000061035156,b
534,302.6000061035156,b
535,305.6000061035156,b
537,310.6000061035156,b
537,312.6000061035156,b
541,315.6000061035156,b
542,318.6000061035156,b
543,322.6000061035156,b
544,323.6000061035156,b
546,325.6000061035156,b
547,326.6000061035156,b
547,328.6000061035156,b
548,330.6000061035156,b
549,331.6000061035156,b
550,333.6000061035156,b
551,334.6000061035156,b
553,337.6000061035156,b
555,339.6000061035156,b
556,343.6000061035156,b
559,346.6000061035156,b
560,348.6000061035156,b
562,350.6000061035156,b
564,353.6000061035156,b
565,354.6000061035156,b
567,356.6000061035156,b
569,358.6000061035156,b
571,362.6000061035156,b
574,365.6000061035156,b
574,366.6000061035156,b
576,370.6000061035156,b
578,372.6000061035156,b
579,375.6000061035156,b
582,378.6000061035156,b
582,381.6000061035156,b
583,382.6000061035156,b
585,385.6000061035156,b
585,386.6000061035156,b
586,386.6000061035156,b
587,387.6000061035156,b
587,389.6000061035156,b
587,390.6000061035156,b
588,390.6000061035156,b
588,390.6000061035156,b
589,392.6000061035156,b
590,394.6000061035156,b
591,395.6000061035156,b
591,398.6000061035156,b
591,399.6000061035156,b
593,401.6000061035156,b
594,402.6000061035156,b
595,403.6000061035156,b
595,405.6000061035156,b
595,406.6000061035156,b
597,410.6000061035156,b
599,412.6000061035156,b
599,412.6000061035156,b
599,414.6000061035156,b
599,414.6000061035156,b
600,417.6000061035156,b
601,418.6000061035156,b
602,419.6000061035156,b
603,421.6000061035156,b
605,422.6000061035156,b
606,423.6000061035156,b
607,425.6000061035156,b
608,426.6000061035156,b
610,426.6000061035156,b
611,426.6000061035156,b
612,426.6000061035156,b
614,427.6000061035156,b
615,428.6000061035156,b
616,428.6000061035156,b
617,428.6000061035156,b
619,430.6000061035156,b
621,430.6000061035156,b
623,431.6000061035156,b
624,431.6000061035156,b
625,431.6000061035156,b
